,Location,Year,Date,Event,Round,Heat,Rank,Athlete,Country,UCI_ID,Age,Initial_CSE,Final_CSE,Mu,Sigma,ExpectedRank,RatingChange
138,Beijing,2012,14/01/2012,WC,Rep,5,2,NAKAGAWA_Seiichiro,JPN_,10002830360,32.6,17.431,19.774,25.828,3.027,2,
139,Beijing,2012,14/01/2012,WC,Rep,5,3,VOLIKAKIS_Zafeiris,GRE,10005505439,22.6,13.167,15.633,23.187,3.777,4,
140,Beijing,2012,14/01/2012,WC,Rep,5,4,CECI_Francesco,ITA,10006073493,22.1,16.281,15.39,21.296,2.953,3,
141,Beijing,2012,14/01/2012,WC,Rep,5,5,MASOTTI_Fabio,ITA,10002209661,37.6,0.349,0.077,9.983,4.953,5,
142,Beijing,2012,14/01/2012,WC,Rep,6,1,PERALTA_Juan,ESP,10006552534,21.7,18.188,22.476,30.728,4.126,2,
143,Beijing,2012,14/01/2012,WC,Rep,6,2,TANG_Qi,MSP_,10005763400,25.2,15.094,18.106,25.498,3.696,3,
144,Beijing,2012,14/01/2012,WC,Rep,6,3,FEIFERLÍK_Martin,CZE_,10006600933,21.5,4.934,11.883,20.361,4.239,4,
145,Beijing,2012,14/01/2012,WC,Rep,6,4,WANG_Qiming,HKP_,10004792588,24.6,1.916,8.2,16.418,4.109,5,
146,Beijing,2012,14/01/2012,WC,Rep,6,5,PHILLIP_Njisane,TTO,10006898401,20.6,18.294,14.657,20.897,3.12,1,
147,Beijing,2012,14/01/2012,WC,R2,1,1,ZHANG_Miao,CHN_,10006737945,23.4,23.834,27.528,32.602,2.537,4,
148,Beijing,2012,14/01/2012,WC,R2,1,2,BORISOV_Sergei,RUS,10002558558,29,29.827,30.726,35.564,2.419,1,
149,Beijing,2012,14/01/2012,WC,R2,1,3,TAYLOR_Andrew,AUS_,10003030424,26.5,24.406,26.66,34.368,3.854,3,
150,Beijing,2012,14/01/2012,WC,R2,1,4,WATANABE_Kazunari,JPN,10003349716,26.7,22.773,24.104,31.816,3.856,5,
151,Beijing,2012,14/01/2012,WC,R2,1,5,MAZQUIARAN_URIA_Hodei,ESP_,10004613039,23.1,25.982,25.347,30.035,2.344,2,
152,Beijing,2012,14/01/2012,WC,R2,1,6,DAWKINS_Edward,NZL,10005782695,22.5,18.501,17.25,24.186,3.468,6,
153,Beijing,2012,14/01/2012,WC,R2,2,1,PERVIS_Francois,FRA,10003011125,27.2,19.882,29.267,38.487,4.61,6,
154,Beijing,2012,14/01/2012,WC,R2,2,2,PERALTA_Juan,ESP,10006552534,21.7,22.476,26.673,33.405,3.366,1,
155,Beijing,2012,14/01/2012,WC,R2,2,3,PUERTA_ZAPATA_Fabian_Hernando,COL,10006904360,20.5,20.752,24.705,32.755,4.025,4,
156,Beijing,2012,14/01/2012,WC,R2,2,4,BÜCHLI_Matthijs,NED,10006900421,19.1,21.646,23.083,29.753,3.335,3,
157,Beijing,2012,14/01/2012,WC,R2,2,5,VYNOKUROV_Andrii,UKR,10002418415,29.4,22.012,21.741,27.901,3.08,2,
158,Beijing,2012,14/01/2012,WC,R2,2,6,FENG_Yong,HBC_,10004792184,26.1,20.212,17.838,25.02,3.591,5,
159,Beijing,2012,14/01/2012,WC,Final,1,1,PERVIS_Francois,FRA,10003011125,27.2,29.267,34.204,41.83,3.813,2,
160,Beijing,2012,14/01/2012,WC,Final,1,2,BORISOV_Sergei,RUS,10002558558,29,30.726,32.054,36.49,2.218,1,
161,Beijing,2012,14/01/2012,WC,Final,1,3,TAYLOR_Andrew,AUS_,10003030424,26.5,26.66,28.879,35.073,3.097,5,
162,Beijing,2012,14/01/2012,WC,Final,1,4,PERALTA_Juan,ESP,10006552534,21.7,26.673,27.53,33.184,2.827,4,
163,Beijing,2012,14/01/2012,WC,Final,1,5,ZHANG_Miao,CHN_,10006737945,23.4,27.528,27.212,31.81,2.299,3,
164,Beijing,2012,14/01/2012,WC,Final,1,6,PUERTA_ZAPATA_Fabian_Hernando,COL,10006904360,20.5,24.705,22.424,29.182,3.379,6,
165,Beijing,2012,14/01/2012,WC,Final,2,1,VYNOKUROV_Andrii,UKR,10002418415,29.4,21.741,25.429,30.887,2.729,4,
166,Beijing,2012,14/01/2012,WC,Final,2,2,WATANABE_Kazunari,JPN,10003349716,26.7,24.104,26.086,32.32,3.117,2,
167,Beijing,2012,14/01/2012,WC,Final,2,3,BÜCHLI_Matthijs,NED,10006900421,19.1,23.083,24.155,29.759,2.802,3,
