,Location,Year,Date,Event,Round,Heat,Rank,Athlete,Country,UCI_ID,Age,Initial_CSE,Final_CSE,ExpectedRank,RatingChange
154,Beijing,2012,2012-01-14,WC,R2,2,2,PERALTA_Juan,ESP,10006552534.0,21.7,22.476,26.673000000000002,1.0,
155,Beijing,2012,2012-01-14,WC,R2,2,3,PUERTA_ZAPATA_Fabian_Hernando,COL,10006904360.0,20.5,20.752,24.705000000000002,4.0,
156,Beijing,2012,2012-01-14,WC,R2,2,4,BÜCHLI_Matthijs,NED,10006900421.0,19.1,21.646,23.083,3.0,
157,Beijing,2012,2012-01-14,WC,R2,2,5,VYNOKUROV_Andrii,UKR,10002418415.0,29.4,22.012,21.741,2.0,
158,Beijing,2012,2012-01-14,WC,R2,2,6,FENG_Yong,HBC_,10004792184.0,26.1,20.212,17.838,5.0,
159,Beijing,2012,2012-01-14,WC,Final,1,1,PERVIS_Francois,FRA,10003011125.0,27.2,29.267000000000003,34.204,2.0,
160,Beijing,2012,2012-01-14,WC,Final,1,2,BORISOV_Sergei,RUS,10002558558.0,29.0,30.726,32.054,1.0,
161,Beijing,2012,2012-01-14,WC,Final,1,3,TAYLOR_Andrew,AUS_,10003030424.0,26.5,26.660000000000004,28.879,5.0,
162,Beijing,2012,2012-01-14,WC,Final,1,4,PERALTA_Juan,ESP,10006552534.0,21.7,26.673000000000002,27.529999999999998,4.0,
163,Beijing,2012,2012-01-14,WC,Final,1,5,ZHANG_Miao,CHN_,10006737945.0,23.4,27.528,27.212,3.0,
164,Beijing,2012,2012-01-14,WC,Final,1,6,PUERTA_ZAPATA_Fabian_Hernando,COL,10006904360.0,20.5,24.705000000000002,22.424,6.0,
165,Beijing,2012,2012-01-14,WC,Final,2,1,VYNOKUROV_Andrii,UKR,10002418415.0,29.4,21.741,25.429000000000002,4.0,
166,Beijing,2012,2012-01-14,WC,Final,2,2,WATANABE_Kazunari,JPN,10003349716.0,26.7,24.104,26.086,2.0,
167,Beijing,2012,2012-01-14,WC,Final,2,3,BÜCHLI_Matthijs,NED,10006900421.0,19.1,23.083,24.155,3.0,
168,Beijing,2012,2012-01-14,WC,Final,2,4,DAWKINS_Edward,NZL,10005782695.0,22.5,17.25,19.458000000000002,6.0,
169,Beijing,2012,2012-01-14,WC,Final,2,5,FENG_Yong,HBC_,10004792184.0,26.1,17.838,18.643,5.0,
170,Beijing,2012,2012-01-14,WC,Final,2,6,MAZQUIARAN_URIA_Hodei,ESP_,10004613039.0,23.1,25.347,23.522,1.0,
171,London,2012,2012-02-18,WC,R1,1,1,VOLIKAKIS_Christos,GRE,10004633247.0,23.9,32.145,32.939,1.0,
172,London,2012,2012-02-18,WC,R1,1,2,CRAMPTON_Matthew,SKY_,10003292122.0,25.7,9.0,17.915,3.0,
173,London,2012,2012-02-18,WC,R1,1,3,CECI_Francesco,ITA,10006073493.0,22.2,15.39,16.331,2.0,
174,London,2012,2012-02-18,WC,R1,1,4,ALIAGA_CHIVITE_Sergio,ESP,10006553039.0,20.3,9.0,8.475,3.0,
175,London,2012,2012-02-18,WC,R1,1,5,AUDI_Raja,LIB,10006107748.0,32.3,3.957,3.452,5.0,
176,London,2012,2012-02-18,WC,R1,2,1,VAN_VELTHOOVEN_Simon,NZL_,10005506954.0,23.2,9.0,25.759999999999998,3.0,
177,London,2012,2012-02-18,WC,R1,2,2,BORISOV_Sergei,RUS,10002558558.0,29.1,32.054,31.728,1.0,
178,London,2012,2012-02-18,WC,R1,2,3,NITTA_Yudai,JPN,10005727327.0,26.1,18.012,19.418,2.0,
179,London,2012,2012-02-18,WC,R1,2,4,ESTEBAN_HERRAIZ_Itmar,ESP,10004737119.0,28.2,9.0,11.47,3.0,
180,London,2012,2012-02-18,WC,R1,2,5,ARAUJO_Jhonny,VEN_,10007257095.0,,9.0,4.309999999999999,3.0,
181,London,2012,2012-02-18,WC,R1,3,1,WATANABE_Kazunari,JPN,10003349716.0,26.8,26.086,27.868,1.0,
182,London,2012,2012-02-18,WC,R1,3,2,KHOZOV_Vladimir,RUS_,10005510085.0,23.9,17.35,21.066,3.0,
183,London,2012,2012-02-18,WC,R1,3,3,PHILLIP_Njisane,TTO,10006898401.0,20.7,14.656999999999998,17.613,6.0,
184,London,2012,2012-02-18,WC,R1,3,4,ŠPIČKA_Denis,CZE_,10004723476.0,23.5,17.323,18.444,4.0,
185,London,2012,2012-02-18,WC,R1,3,5,MASSIE_Giddeon,USA,10002260484.0,30.5,17.073,17.126,5.0,
186,London,2012,2012-02-18,WC,R1,3,6,PUERTA_ZAPATA_Fabian_Hernando,COL,10006904360.0,20.6,22.424,19.093,2.0,
187,London,2012,2012-02-18,WC,R1,4,1,HOY_Chris,GBR_,10001564310.0,35.9,31.815,33.706,1.0,
188,London,2012,2012-02-18,WC,R1,4,2,ENDERS_Rene,GER,10004601824.0,25.0,9.0,23.916999999999994,4.0,
189,London,2012,2012-02-18,WC,R1,4,3,PERALTA_Juan,ESP,10006552534.0,21.8,27.529999999999998,27.522,2.0,
190,London,2012,2012-02-18,WC,R1,4,4,OKUNEV_Ilya,PHL_,10005748747.0,22.8,9.0,16.627,4.0,
191,London,2012,2012-02-18,WC,R1,4,5,MULLEN_Eoin,IRL,10007782616.0,18.5,9.0,12.663,4.0,
192,London,2012,2012-02-18,WC,R1,4,6,CIPRIANO_Flavio_Vagner,BRA,10007165755.0,22.1,14.826999999999998,13.655000000000001,3.0,
