Time,,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:53:04,16:53:04,0,35,67,0,30,0,52,0,0
17:53:05,16:53:05,0,34,67,0,30,0,50,0,0
17:53:06,16:53:06,0,31,67,0,30,0,50,0,0
17:53:07,16:53:07,0,31,66,0,30,0,54,0,0
17:53:08,16:53:08,0,35,66,0,30,0,51,0,0
17:53:09,16:53:09,0,32,67,0,30,0,55,0,0
17:53:10,16:53:10,0,32,67,0,30,0,51,0,0
17:53:11,16:53:11,0,34,66,0,30,0,53,0,0
17:53:12,16:53:12,0,39,68,0,30,0,57,0,0
17:53:13,16:53:13,0,30,68,0,30,0,52,0,0
17:53:14,16:53:14,0,32,67,0,30,0,54,0,0
17:53:15,16:53:15,0,33,67,0,30,0,53,0,0
17:53:16,16:53:16,0,32,67,0,30,0,54,0,0
17:53:17,16:53:17,0,35,67,0,30,0,52,0,0
17:53:18,16:53:18,0,34,67,0,30,0,55,0,0
17:53:19,16:53:19,0,36,67,0,30,0,54,0,0
17:53:20,16:53:20,0,33,68,0,30,0,53,0,0
17:53:21,16:53:21,0,32,67,0,30,0,50,0,0
17:53:22,16:53:22,0,28,67,0,30,0,50,0,0
17:53:23,16:53:23,0,37,67,0,30,0,48,0,0
17:53:24,16:53:24,0,34,67,0,30,0,51,0,0
17:53:25,16:53:25,0,33,67,0,30,0,54,0,0
17:53:26,16:53:26,0,36,67,0,30,0,52,0,0
17:53:27,16:53:27,0,39,68,0,30,0,58,0,0
17:53:28,16:53:28,0,43,70,0,30,0,56,0,0
17:53:29,16:53:29,0,37,70,0,30,0,45,0,0
17:53:30,16:53:30,0,40,71,0,30,0,47,0,0
17:53:31,16:53:31,0,39,71,0,30,0,51,0,0
17:53:32,16:53:32,0,58,72,0,30,0,39,0,0
17:53:33,16:53:33,0,48,77,0,30,0,56,0,0
17:53:34,16:53:34,0,38,76,0,30,0,37,0,0
17:53:35,16:53:35,0,46,77,0,30,0,52,0,0
17:53:36,16:53:36,0,47,78,0,30,0,45,0,0
17:53:37,16:53:37,0,58,80,0,30,0,54,0,0
17:53:38,16:53:38,0,48,81,0,30,0,55,0,0
17:53:39,16:53:39,0,37,81,0,30,0,52,0,0
17:53:40,16:53:40,0,43,80,0,30,0,49,0,0
17:53:41,16:53:41,0,37,79,0,30,0,52,0,0
17:53:42,16:53:42,0,39,79,0,30,0,52,0,0
17:53:43,16:53:43,0,40,78,0,30,0,55,0,0
17:53:44,16:53:44,0,43,79,0,30,0,54,0,0
17:53:45,16:53:45,0,44,79,0,30,0,49,0,0
17:53:46,16:53:46,0,43,79,0,30,0,53,0,0
17:53:47,16:53:47,0,47,79,0,30,0,50,0,0
17:53:48,16:53:48,0,33,80,0,30,0,55,0,0
17:53:49,16:53:49,0,41,79,0,30,0,47,0,0
17:53:50,16:53:50,0,44,79,0,30,0,53,0,0
17:53:51,16:53:51,0,45,80,0,30,0,55,0,0
17:53:52,16:53:52,0,34,79,0,30,0,58,0,0
17:53:53,16:53:53,0,45,78,0,30,0,56,0,0
17:53:54,16:53:54,0,39,77,0,30,0,39,0,0
17:53:55,16:53:55,0,46,78,0,30,0,46,0,0
17:53:56,16:53:56,0,49,78,0,30,0,44,0,0
17:53:57,16:53:57,0,39,79,0,30,0,64,0,0
17:53:58,16:53:58,0,40,80,0,30,0,72,0,0
17:53:59,16:53:59,0,44,78,0,30,0,49,0,0
17:54:00,16:54:00,0,30,75,0,30,0,59,0,0
17:54:01,16:54:01,0,34,75,0,30,0,51,0,0
17:54:02,16:54:02,0,30,74,0,30,0,51,0,0
17:54:03,16:54:03,0,32,73,0,30,0,51,0,0
17:54:04,16:54:04,0,34,72,0,30,0,55,0,0
17:54:05,16:54:05,0,41,73,0,30,0,58,0,0
17:54:06,16:54:06,0,36,73,0,30,0,55,0,0
17:54:07,16:54:07,0,39,73,0,30,0,57,0,0
17:54:08,16:54:08,0,39,73,0,30,0,51,0,0
17:54:09,16:54:09,0,34,72,0,30,0,56,0,0
17:54:10,16:54:10,0,35,72,0,30,0,52,0,0
17:54:11,16:54:11,0,36,72,0,30,0,52,0,0
17:54:12,16:54:12,0,32,71,0,30,0,52,0,0
17:54:13,16:54:13,0,35,71,0,30,0,48,0,0
17:54:14,16:54:14,0,38,71,0,30,0,46,0,0
17:54:15,16:54:15,0,32,72,0,30,0,56,0,0
17:54:16,16:54:16,0,31,70,0,30,0,49,0,0
17:54:17,16:54:17,0,37,70,0,30,0,53,0,0
17:54:18,16:54:18,0,30,70,0,30,0,54,0,0
